time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.2036908171553753e-09,7.566390969422348e-07,10.001083613773945,0.0006357140286050722,3.1582619079983942e-06,0.0,-2.1979365281118167e-07,5.989527560335448e-05,0.036119608523896375,0.02610636400227636,0.00015771502029123265,0.0,416.2496299560625,416.26342785199745,414.8784250478505,417.1638123534459
0.12000000000000001,-9.331223398735082e-08,2.6421066581757513e-05,10.00931635995169,0.002307946198600419,6.282844275529406,0.0,1.225246369381556e-05,0.0009855139722006832,0.23828390428447432,0.031183550615330936,-0.02139718257499266,0.0,469.2761568053378,467.6003829444309,467.76757273770085,468.1628706513157
0.18,1.417859619312957e-05,0.0001476668633423409,10.029353537151012,0.0037901557748751813,6.281173089773546,0.0,0.0006284683893606545,0.0032553029040378618,0.4295682990934115,0.006784032297954653,-0.045673287092089745,0.0,465.9180384334101,464.0162367283368,466.08038067775107,464.1698944375867
0.23999999999999996,0.00011285946772066463,0.00043712633229096344,10.061698364054585,0.004563492815257142,6.278506696183706,0.0,0.00298389320858104,0.00646614937541766,0.6484924780385412,0.022927023453560083,-0.04208134086519707,0.0,474.02983554298925,474.3047399628687,471.92917749348373,473.17325835124694
0.3,0.00039814111398491273,0.0009249199994590124,10.10360943161993,0.006209012256385371,6.27606317229907,0.0,0.006778452325955453,0.009948694952290962,0.7484802590396146,0.03517134406007122,-0.038143452744366015,0.0,436.29981839213747,436.627518823677,437.7303733846172,438.7481776118937
0.36000000000000004,0.0009681188240378202,0.0016665039909802963,10.152790915660795,0.008015621141726825,6.275066155455876,0.0,0.012378385339677906,0.014985003814218075,0.890799293017805,0.017340148365169276,0.008388877343285727,0.0,448.33680601805423,452.100977704734,451.9568902810726,450.5179040610929
0.4200000000000001,0.0018716036081870586,0.002732589328639092,10.208834443096848,0.009643133227525524,6.276727303328707,0.0,0.017613781664156294,0.02068893978203096,0.9772476819936919,0.04173418266426587,0.0510850885117933,0.0,431.1482411083261,434.7403318561408,432.8516841983207,434.89965130219167
0.48000000000000015,0.0030500514213194813,0.004182473926383437,10.270451334540843,0.011821450996077232,6.279735684990152,0.0,0.02135772215552078,0.02788142356829758,1.0765591520848345,0.0223044624417511,0.048179228137070346,0.0,437.9050412830905,437.6649076985763,438.37037173564926,436.7536464692868
0.5400000000000001,0.004391480606185942,0.0061074070007797595,10.33827534910152,0.012839812318268251,0.00011143554081094464,0.0,0.02301714344676526,0.036406323030709564,1.1841349604400904,0.0033000511287587008,0.07547704527342966,0.0,438.93972742811684,441.2013966851347,441.6891725900498,440.1191779819859
0.6000000000000002,0.005747637629933514,0.008620999297283183,10.417241441370518,0.012805951832485896,0.005034296391143833,0.0,0.021588698557922885,0.047388336007613274,1.4477711108336349,-0.00970274859718526,0.09270765046607232,0.0,485.9636484109942,487.25808389565185,488.78899770593665,487.81913447053955
0.6600000000000003,0.00693532515736238,0.011689324179753635,10.504167761523417,0.011792907167131439,0.01076683553243818,0.0,0.017506207917173135,0.054824966190023215,1.4497678281938653,-0.037845108710675944,0.10067818676082739,0.0,407.05976510145695,407.7809890113933,407.3995300403737,404.8755723981107
0.7200000000000003,0.007754808299855554,0.015199869581444345,10.592921606434597,0.009719208842893678,0.016496342119953766,0.0,0.009243624866952063,0.06198444856035625,1.5086128696679546,-0.028693914334491023,0.0823195010675632,0.0,426.64851206796635,425.0863775106733,425.3021212856176,426.0845448988897
0.7800000000000004,0.00796921952131395,0.019102788132971577,10.685319633731442,0.007492337446580066,0.02126152962311778,0.0,-0.0025638798018334085,0.0679318580468271,1.5712303523715017,-0.06483242735806186,0.07288203658411543,0.0,426.7071095720214,425.90609124895394,429.6143451030596,426.53838194503084
0.8400000000000004,0.007303034045992804,0.023335889436003957,10.785137611539659,0.003777502457204207,0.025183592559162804,0.0,-0.020119912797081384,0.0727346802623508,1.755762427647433,-0.05663885424936184,0.0428146643734937,0.0,467.4047823257383,465.05854452513597,464.21955693997813,464.8594007217536
0.9000000000000005,0.00553744900501422,0.027768182110229696,10.894546123594914,0.00038930782563717514,0.028406928912289686,0.0,-0.03904419237550966,0.07464374123300975,1.8909666009353416,-0.056134282883424945,0.06956690752997398,0.0,449.9081389155939,452.0705237309297,450.97190230103695,451.0105286293089
0.9600000000000005,0.002627683341061699,0.0322419528419948,11.009749880825858,6.279942586397322,0.033195575645400766,0.0,-0.058379509688483794,0.07414833305453224,1.9490476478442953,-0.07122637862716233,0.09492828030271812,0.0,425.1396631381727,427.3122001519277,428.47637859813346,427.1886228002351
1.0200000000000005,-0.0016244111760772661,0.036602732754350456,11.130891108702386,6.275946823243979,0.03835459436152089,0.0,-0.08394866070104594,0.07076735295484755,2.0887247743743664,-0.05865633994885289,0.054472529179097506,0.0,454.93412754042436,451.6887714128979,452.3789928311438,453.38669984296575
1.0800000000000005,-0.0075803296709571035,0.040662665786029395,11.262131885659675,6.272607845165373,0.04165118733388695,0.0,-0.11494925194253276,0.06416856864402602,2.285575663025705,-0.050230150896837605,0.05586799689165657,0.0,470.32845914842545,470.43836122199536,471.08372333614227,471.73287463658465
1.1400000000000006,-0.015556239601883739,0.0442289009997393,11.4070646897655,6.269310426220475,0.04612882297878773,0.0,-0.15140132456603633,0.0543188622034769,2.5449488571274164,-0.06665421171801167,0.09761075615982884,0.0,488.43517300927397,491.5416119782181,490.30657545997184,489.0830961694807
